seed,w,stage,concordance_selfref_at_stage_start,jaccard_A_at_stage_start,agree_frontier_label,agree_past_label,agree_core_label,n_nodes,symdiff_nodes_AB,trunk_common
18,1,13,0.9193548387096774,0.0,0.9,1.0,1.0,138,0,1
19,1,0,1.0,nan,1.0,1.0,1.0,60,0,1
19,1,1,1.0,1.0,0.7222222222222222,1.0,1.0,72,0,1
19,1,2,1.0,1.0,0.9375,1.0,1.0,74,0,1
19,1,3,1.0,1.0,0.9411764705882353,1.0,1.0,77,0,1
19,1,4,1.0,1.0,0.9411764705882353,1.0,1.0,79,0,1
19,1,5,1.0,1.0,0.9375,1.0,1.0,80,0,1
19,1,6,1.0,1.0,1.0,1.0,1.0,81,0,1
19,1,7,1.0,1.0,1.0,1.0,1.0,84,0,1
19,1,8,0.8571428571428571,0.5,0.85,1.0,1.0,94,0,1
19,1,9,0.85,0.5714285714285714,0.5454545454545454,1.0,1.0,102,0,1
19,1,10,0.775,0.3076923076923077,0.7,1.0,1.0,104,0,1
19,1,11,0.825,0.5,0.6842105263157895,1.0,1.0,105,0,1
19,1,12,0.9069767441860465,0.6666666666666666,0.6,1.0,1.0,110,0,1
19,1,13,0.8,0.3076923076923077,0.7142857142857143,1.0,1.0,113,0,1
20,1,0,0.9333333333333333,0.0,0.9285714285714286,1.0,1.0,60,0,1
20,1,1,0.9523809523809523,0.0,0.9375,1.0,1.0,70,0,1
20,1,2,0.9642857142857143,0.0,0.95,1.0,1.0,80,0,1
20,1,3,0.9714285714285714,0.0,0.9545454545454546,1.0,1.0,92,0,1
20,1,4,0.8666666666666667,0.0,0.9629629629629629,1.0,1.0,107,0,1
20,1,5,0.9791666666666666,0.0,0.9615384615384616,1.0,1.0,114,0,1
20,1,6,0.9807692307692307,0.0,0.9629629629629629,1.0,1.0,121,0,1
20,1,7,0.9811320754716981,0.0,0.9629629629629629,1.0,1.0,123,0,1
20,1,8,0.9814814814814815,0.0,0.9629629629629629,1.0,1.0,125,0,1
20,1,9,0.9821428571428571,0.0,0.9642857142857143,1.0,1.0,128,0,1
20,1,10,0.9821428571428571,0.0,0.9629629629629629,1.0,1.0,129,0,1
20,1,11,0.9824561403508771,0.0,1.0,1.0,1.0,131,0,1
20,1,12,1.0,nan,1.0,1.0,1.0,135,0,1
20,1,13,1.0,nan,1.0,1.0,1.0,142,0,1
21,1,0,1.0,1.0,0.6428571428571429,1.0,1.0,60,0,1
21,1,1,1.0,1.0,0.6875,1.0,1.0,68,0,1
21,1,2,1.0,nan,0.7368421052631579,1.0,1.0,75,0,1
21,1,3,1.0,nan,0.7727272727272727,1.0,1.0,82,0,1
21,1,4,1.0,nan,0.782608695652174,1.0,1.0,85,0,1
21,1,5,1.0,nan,0.7727272727272727,1.0,1.0,86,0,1
21,1,6,1.0,nan,0.7727272727272727,1.0,1.0,88,0,1
21,1,7,1.0,1.0,0.782608695652174,1.0,1.0,91,0,1
21,1,8,0.9024390243902439,0.0,0.8148148148148148,1.0,1.0,99,0,1
21,1,9,1.0,nan,0.8214285714285714,1.0,1.0,102,0,1
21,1,10,1.0,nan,0.8214285714285714,1.0,1.0,106,0,1
21,1,11,0.9777777777777777,0.0,0.8518518518518519,1.0,1.0,107,0,1
21,1,12,0.9787234042553191,0.5,0.8148148148148148,1.0,1.0,111,0,1
21,1,13,0.9375,0.0,0.8148148148148148,1.0,1.0,113,0,1
22,1,0,1.0,nan,1.0,1.0,1.0,60,0,1
22,1,1,1.0,nan,1.0,1.0,1.0,61,0,1
22,1,2,1.0,nan,1.0,1.0,1.0,63,0,1
22,1,3,1.0,nan,1.0,1.0,1.0,66,0,1
22,1,4,0.8333333333333334,0.0,0.9375,1.0,1.0,76,0,1
22,1,5,0.8709677419354839,0.0,0.9473684210526315,1.0,1.0,87,0,1
22,1,6,1.0,1.0,0.7777777777777778,1.0,1.0,94,0,1
22,1,7,1.0,nan,1.0,1.0,1.0,102,0,1
22,1,8,1.0,nan,1.0,1.0,1.0,107,0,1
22,1,9,1.0,nan,1.0,1.0,1.0,109,0,1
22,1,10,1.0,nan,1.0,1.0,1.0,113,0,1
22,1,11,1.0,nan,1.0,1.0,1.0,115,0,1
22,1,12,1.0,nan,1.0,1.0,1.0,116,0,1
22,1,13,1.0,nan,1.0,1.0,1.0,119,0,1
23,1,0,1.0,nan,1.0,1.0,1.0,60,0,1
23,1,1,1.0,nan,1.0,1.0,1.0,61,0,1
23,1,2,1.0,1.0,1.0,1.0,1.0,70,0,1
23,1,3,1.0,1.0,1.0,1.0,1.0,81,0,1
23,1,4,1.0,nan,1.0,1.0,1.0,95,0,1
23,1,5,1.0,nan,1.0,1.0,1.0,106,0,1
23,1,6,1.0,nan,1.0,1.0,1.0,114,0,1
23,1,7,1.0,nan,1.0,1.0,1.0,122,0,1
23,1,8,1.0,nan,1.0,1.0,1.0,125,0,1
23,1,9,1.0,nan,1.0,1.0,1.0,127,0,1
23,1,10,1.0,nan,1.0,1.0,1.0,128,0,1
23,1,11,1.0,1.0,1.0,1.0,1.0,134,0,1
23,1,12,1.0,nan,1.0,1.0,1.0,136,0,1
23,1,13,1.0,nan,1.0,1.0,1.0,138,0,1
24,1,0,0.9333333333333333,0.0,0.9285714285714286,1.0,1.0,60,0,1
24,1,1,0.9411764705882353,0.0,0.9166666666666666,1.0,1.0,66,0,1
24,1,2,0.96,0.0,0.8125,1.0,1.0,78,0,1
24,1,3,0.775,0.0,1.0,1.0,1.0,101,0,1
24,1,4,1.0,nan,1.0,1.0,1.0,112,0,1
24,1,5,1.0,nan,1.0,1.0,1.0,121,0,1
24,1,6,1.0,nan,1.0,1.0,1.0,128,0,1
24,1,7,1.0,nan,1.0,1.0,1.0,130,0,1
24,1,8,1.0,nan,1.0,1.0,1.0,132,0,1
24,1,9,1.0,nan,1.0,1.0,1.0,135,0,1
24,1,10,1.0,nan,1.0,1.0,1.0,137,0,1
24,1,11,1.0,nan,1.0,1.0,1.0,140,0,1
24,1,12,1.0,nan,1.0,1.0,1.0,143,0,1
24,1,13,1.0,nan,1.0,1.0,1.0,146,0,1
25,1,0,1.0,nan,nan,nan,nan,60,0,1
25,1,1,0.8888888888888888,0.0,0.6666666666666666,1.0,1.0,68,0,1
25,1,2,0.896551724137931,0.5,0.8235294117647058,1.0,1.0,85,0,1
25,1,3,0.8235294117647058,0.0,0.7647058823529411,1.0,1.0,95,0,1
25,1,4,0.8918918918918919,0.0,0.8235294117647058,1.0,1.0,101,0,1
25,1,5,0.95,0.0,0.8421052631578947,1.0,1.0,105,0,1
25,1,6,0.9047619047619048,0.0,0.8,1.0,1.0,108,0,1
