seed,w,stage,n_nodes_A,n_nodes_B,symdiff_nodes_AB,trunk_common,jaccard_A,one_minus_J,concordance,counterfactual_A_symdiff_size,shared_graph_object
11,2,5,74,74,0,1,0.0,1.0,0.8571428571428571,3,1
11,2,6,76,76,0,1,0.0,1.0,0.9090909090909091,2,1
11,2,7,79,79,0,1,0.0,1.0,0.9166666666666666,2,1
11,2,8,82,82,0,1,0.5,0.5,0.9230769230769231,2,1
11,2,9,88,88,0,1,0.0,1.0,0.8,6,1
11,2,10,89,89,0,1,0.0,1.0,0.8,6,1
11,2,11,92,92,0,1,0.0,1.0,0.84375,5,1
11,2,12,94,94,0,1,nan,nan,1.0,0,1
11,2,13,95,95,0,1,nan,nan,1.0,0,1
11,2,14,98,98,0,1,nan,nan,1.0,0,1
11,2,15,99,99,0,1,nan,nan,1.0,0,1
11,2,16,103,103,0,1,nan,nan,1.0,0,1
11,2,17,105,105,0,1,nan,nan,1.0,0,1
11,2,18,109,109,0,1,nan,nan,1.0,0,1
11,2,19,111,111,0,1,nan,nan,1.0,0,1
12,2,0,60,60,0,1,0.2222222222222222,0.7777777777777778,0.5333333333333333,7,1
12,2,1,76,76,0,1,0.0,1.0,0.8333333333333334,4,1
12,2,2,95,95,0,1,0.4444444444444444,0.5555555555555556,0.8571428571428571,5,1
12,2,3,104,104,0,1,0.0,1.0,0.9,4,1
12,2,4,109,109,0,1,0.0,1.0,0.8837209302325582,5,1
12,2,5,112,112,0,1,0.8,0.19999999999999996,0.9777777777777777,1,1
12,2,6,114,114,0,1,0.0,1.0,0.9130434782608695,4,1
12,2,7,119,119,0,1,0.0,1.0,0.9,5,1
12,2,8,122,122,0,1,0.8,0.19999999999999996,0.9803921568627451,1,1
12,2,9,123,123,0,1,nan,nan,1.0,0,1
12,2,10,124,124,0,1,0.0,1.0,0.9803921568627451,1,1
12,2,11,127,127,0,1,0.0,1.0,0.9811320754716981,1,1
12,2,12,129,129,0,1,nan,nan,1.0,0,1
12,2,13,132,132,0,1,0.0,1.0,0.9821428571428571,1,1
12,2,14,134,134,0,1,0.0,1.0,0.9824561403508771,1,1
12,2,15,136,136,0,1,nan,nan,1.0,0,1
12,2,16,137,137,0,1,0.0,1.0,0.9827586206896551,1,1
12,2,17,138,138,0,1,0.0,1.0,0.9827586206896551,1,1
12,2,18,142,142,0,1,nan,nan,1.0,0,1
12,2,19,144,144,0,1,0.0,1.0,0.9838709677419355,1,1
13,2,0,60,60,0,1,0.5,0.5,0.9333333333333333,1,1
13,2,1,68,68,0,1,0.0,1.0,0.75,5,1
13,2,2,70,70,0,1,0.0,1.0,0.6666666666666666,7,1
13,2,3,71,71,0,1,0.0,1.0,0.7142857142857143,6,1
13,2,4,72,72,0,1,0.0,1.0,0.7619047619047619,5,1
13,2,5,79,79,0,1,0.0,1.0,0.6923076923076923,8,1
13,2,6,85,85,0,1,0.4444444444444444,0.5555555555555556,0.8387096774193549,5,1
13,2,7,92,92,0,1,0.3333333333333333,0.6666666666666667,0.7777777777777778,8,1
13,2,8,98,98,0,1,0.0,1.0,0.775,9,1
13,2,9,102,102,0,1,0.36363636363636365,0.6363636363636364,0.8333333333333334,7,1
13,2,10,103,103,0,1,0.0,1.0,0.8095238095238095,8,1
13,2,11,115,115,0,1,0.0,1.0,0.9183673469387755,4,1
13,2,12,122,122,0,1,1.0,0.0,1.0,0,1
13,2,13,133,133,0,1,0.0,1.0,0.9354838709677419,4,1
13,2,14,141,141,0,1,0.0,1.0,0.9384615384615385,4,1
13,2,15,149,149,0,1,0.5,0.5,0.9436619718309859,4,1
13,2,16,158,158,0,1,0.0,1.0,0.9473684210526315,4,1
13,2,17,167,167,0,1,0.0,1.0,0.9512195121951219,4,1
13,2,18,174,174,0,1,1.0,0.0,1.0,0,1
13,2,19,177,177,0,1,0.0,1.0,0.9534883720930233,4,1
14,2,0,60,60,0,1,0.75,0.25,0.9333333333333333,1,1
14,2,1,66,66,0,1,0.8,0.19999999999999996,0.9444444444444444,1,1
14,2,2,72,72,0,1,nan,nan,1.0,0,1
14,2,3,77,77,0,1,nan,nan,1.0,0,1
14,2,4,82,82,0,1,nan,nan,1.0,0,1
14,2,5,84,84,0,1,1.0,0.0,1.0,0,1
14,2,6,86,86,0,1,1.0,0.0,1.0,0,1
14,2,7,92,92,0,1,nan,nan,1.0,0,1
14,2,8,104,104,0,1,1.0,0.0,1.0,0,1
14,2,9,110,110,0,1,1.0,0.0,1.0,0,1
14,2,10,117,117,0,1,1.0,0.0,1.0,0,1
14,2,11,125,125,0,1,1.0,0.0,1.0,0,1
14,2,12,131,131,0,1,1.0,0.0,1.0,0,1
14,2,13,132,132,0,1,1.0,0.0,1.0,0,1
14,2,14,133,133,0,1,1.0,0.0,1.0,0,1
14,2,15,136,136,0,1,1.0,0.0,1.0,0,1
14,2,16,138,138,0,1,1.0,0.0,1.0,0,1
14,2,17,139,139,0,1,1.0,0.0,1.0,0,1
14,2,18,142,142,0,1,1.0,0.0,1.0,0,1
14,2,19,146,146,0,1,1.0,0.0,1.0,0,1
15,2,0,60,60,0,1,1.0,0.0,1.0,0,1
15,2,1,62,62,0,1,1.0,0.0,1.0,0,1
15,2,2,69,69,0,1,1.0,0.0,1.0,0,1
15,2,3,82,82,0,1,0.0,1.0,0.9259259259259259,2,1
15,2,4,97,97,0,1,nan,nan,1.0,0,1
15,2,5,101,101,0,1,1.0,0.0,1.0,0,1
15,2,6,102,102,0,1,1.0,0.0,1.0,0,1
15,2,7,103,103,0,1,nan,nan,1.0,0,1
15,2,8,108,108,0,1,1.0,0.0,1.0,0,1
15,2,9,112,112,0,1,1.0,0.0,1.0,0,1
15,2,10,113,113,0,1,nan,nan,1.0,0,1
15,2,11,114,114,0,1,1.0,0.0,1.0,0,1
15,2,12,116,116,0,1,1.0,0.0,1.0,0,1
15,2,13,118,118,0,1,nan,nan,1.0,0,1
15,2,14,120,120,0,1,1.0,0.0,1.0,0,1
15,2,15,122,122,0,1,1.0,0.0,1.0,0,1
15,2,16,123,123,0,1,nan,nan,1.0,0,1
15,2,17,125,125,0,1,nan,nan,1.0,0,1
15,2,18,127,127,0,1,nan,nan,1.0,0,1
15,2,19,128,128,0,1,nan,nan,1.0,0,1
